,X_cols,X_rows,_algo,_code_bits,_ncodebooks,_quantize,corr_mean,corr_std,dataset,eval_time_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,mse_mean,mse_std,norm_mean,nqueries,opq_iters,recall@1,recall@10,recall@100,recall@1000,recall@5,recall@50,recall@500,rel_err_mean,rel_err_sq_mean,rel_err_sq_std,rel_err_std,rot_sz
0,128,10000,Bolt,4,16,True,0.9849865189985378,0.009068579254465295,Sift1M,1.0639960765838623,0.012150000000000001,0.0364,0.016248437499999997,0.013483664795173222,2664873689.54177,2345637242.73349,True,256,0.0,0.21484375,0.640625,0.96484375,1.0,0.5078125,0.859375,1.0,-0.9623575855728622,3913.4450809389764,6166334.82111659,62.5501314852054,16.0
1,128,10000,Bolt,4,16,True,0.9858084762859931,0.008666412493221125,Sift1M,1.0365679264068604,0.01205,0.02955,0.014952343750000001,0.010610092224238012,2663913072.967286,2343888095.8334427,True,256,20.0,0.19921875,0.6484375,0.95703125,1.0,0.52734375,0.89453125,1.0,-0.9606454464300561,4263.850208330364,6721536.583154986,65.2910971622978,8.0
2,128,10000,Bolt,4,16,True,0.9855378945808762,0.00907680788960152,Sift1M,0.8681981563568115,0.0121,0.03465,0.01568515625,0.012412318036454189,2666817045.7289076,2349000596.8060174,True,256,20.0,0.23828125,0.65234375,0.94921875,1.0,0.5234375,0.87890625,1.0,-0.9643455960920275,3475.2512786360658,5481400.378193544,58.94337381086499,16.0
3,128,10000,Bolt,4,16,True,0.985056574675017,0.009501559403572507,Sift1M,0.9062671661376953,0.012150000000000001,0.03195,0.01613984375,0.014373262611550168,2667316637.553997,2349970287.0154667,True,256,20.0,0.1953125,0.6171875,0.94921875,1.0,0.4921875,0.87109375,1.0,-0.9658361526490226,3200.0254308197696,5043721.778535651,56.56052149110729,32.0
4,128,10000,Bolt,4,32,True,0.9928445319221093,0.004013166254527191,Sift1M,1.023353099822998,0.0055,0.0149,0.007644140625,0.006264362002049739,2656645119.2628746,2321844688.9167094,True,256,0.0,0.33984375,0.76953125,0.98828125,1.0,0.65234375,0.95703125,1.0,-0.9427995153710425,9694.299769600324,15268758.587842472,98.45512124147798,16.0
5,128,10000,Bolt,4,32,True,0.993149040004111,0.003878438355690731,Sift1M,0.9074010848999023,0.0062,0.015349999999999999,0.007862109374999999,0.0065205571742786754,2653539346.593047,2317388131.765614,True,256,20.0,0.3359375,0.79296875,0.9921875,1.0,0.6796875,0.96875,1.0,-0.9396558328548467,10701.188278662556,16853886.53689605,103.44228016424587,8.0
6,128,10000,Bolt,4,32,True,0.9930508343225593,0.003960983372212588,Sift1M,0.9998078346252441,0.006,0.0149,0.00781328125,0.006379261701670378,2658166380.0113606,2324369781.6076336,True,256,20.0,0.32421875,0.78125,0.99609375,1.0,0.65625,0.97265625,1.0,-0.9439262163558999,9302.591434697279,14656612.267092181,96.44532356726977,16.0
7,128,10000,Bolt,4,32,True,0.9929517137947863,0.004027123532265355,Sift1M,0.9898130893707275,0.006,0.01465,0.007791015625,0.006436313402756726,2659045521.819495,2325563989.1136208,True,256,20.0,0.3046875,0.796875,0.99609375,1.0,0.66015625,0.97265625,1.0,-0.9435734042455857,9445.766498404193,14889154.396326728,97.18475275286245,32.0
8,128,10000,Bolt,4,64,True,0.9976795610546996,0.0010992120757693307,Sift1M,1.5823900699615479,0.00275,0.0057,0.0034664062500000003,0.002659895361656345,2648050067.5973363,2285832008.7725267,True,256,0.0,0.51953125,0.9140625,1.0,1.0,0.84765625,1.0,1.0,-0.9008695333313371,31018.464233219558,48844581.01840367,176.11829168857926,16.0
9,128,10000,Bolt,4,64,True,0.9977751714381419,0.00104996571531035,Sift1M,1.5846610069274902,0.0027,0.0052,0.0033996093750000003,0.00298734960456792,2647809892.2432756,2286551616.130713,True,256,20.0,0.51171875,0.9296875,1.0,1.0,0.84375,1.0,1.0,-0.9022294876297406,29963.294134004747,47199504.48365692,173.0967362949294,8.0
10,128,10000,Bolt,4,64,True,0.9977545859761556,0.0010600411521889915,Sift1M,1.5252230167388916,0.0027,0.0055,0.0032765625,0.0023998367254031575,2652356602.371512,2294790389.3384013,True,256,20.0,0.48828125,0.91796875,1.0,1.0,0.87109375,1.0,1.0,-0.9096163137958447,25831.541274656156,40693257.411483265,160.71936371457494,16.0
11,128,10000,Bolt,4,64,True,0.9977636472346032,0.0010702111974576639,Sift1M,1.5383269786834717,0.0028,0.00545,0.003365234375,0.002592070680714235,2650372535.446615,2292456033.635119,True,256,20.0,0.5,0.9296875,1.0,1.0,0.859375,1.0,1.0,-0.9084560824840261,26306.76106003826,41438961.28801331,162.19104712524813,32.0
12,128,10000,PQ,4,16,,0.9852581935260611,0.008943036647929952,Sift1M,1.0046160221099854,0.0117,0.03605,0.016058984375,0.013188264097522684,76777961.21826236,123971760.23660795,True,256,,0.23046875,0.60546875,0.953125,1.0,0.48046875,0.88671875,1.0,-0.2225395555133432,125183.38325189438,192654252.3667361,353.81256864057355,
13,128,10000,PQ,4,32,,0.9926438845658874,0.003986668706365348,Sift1M,1.1156258583068848,0.0054,0.0149,0.00729609375,0.005649286491780261,41240518.08924714,65538670.13880397,True,256,,0.3046875,0.7734375,0.98046875,1.0,0.640625,0.96484375,1.0,0.060832390968195725,12115.049973666468,17238031.74801987,110.06837090230177,
