,X_cols,X_rows,_algo,_code_bits,_ncodebooks,_quantize,dataset,eval_time_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,norm_mean,nqueries,opq_iters,recall@1,recall@10,recall@100,recall@1000,recall@5,recall@50,recall@500,rot_sz
0,128,10000,Bolt,4,16,True,sift_100k,0.4620540142059326,0.0074,0.02121,0.01019,0.008612717341234415,True,20,0,0.3,0.95,1.0,1.0,0.8,1.0,1.0,16
1,128,10000,Bolt,4,16,True,sift_100k,0.49747705459594727,0.0066,0.01636000000000002,0.00913,0.008656448463428867,True,20,5,0.25,0.85,1.0,1.0,0.8,0.95,1.0,32
2,128,10000,Bolt,4,32,True,sift_100k,0.5876960754394531,0.0037,0.01173,0.0053050000000000016,0.003807817616430703,True,20,0,0.5,0.9,1.0,1.0,0.85,1.0,1.0,16
3,128,10000,Bolt,4,32,True,sift_100k,0.5534451007843018,0.0033499999999999997,0.007460000000000001,0.003995,0.0021355268670751955,True,20,5,0.4,0.95,1.0,1.0,0.9,1.0,1.0,32
4,128,10000,Bolt,4,64,True,sift_100k,0.6721341609954834,0.00165,0.0030400000000000006,0.001925,0.0007628073151196178,True,20,0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,16
5,128,10000,Bolt,4,64,True,sift_100k,0.6516730785369873,0.0015500000000000002,0.0028200000000000005,0.00189,0.0006449030934954491,True,20,5,0.65,1.0,1.0,1.0,1.0,1.0,1.0,32
