,_algo,_code_bits,_ncodebooks,_quantize,corr,dataset,err,norm_mean,opq_iters,rel_err,rot_sz
0,Bolt,4,16,True,0.7825003379864948,Convnet1M,830.8339239358902,True,0.0,632.6679763713049,32.0
1,Bolt,4,16,True,0.8263728735773936,Convnet1M,659.0104559659958,True,0.0,593.8523120313645,32.0
2,Bolt,4,16,True,0.8518776713668961,Convnet1M,927.4632515907288,True,0.0,568.3965422985361,32.0
3,Bolt,4,16,True,0.8343366683378208,Convnet1M,943.8160536289215,True,0.0,805.2335997912168,32.0
4,Bolt,4,16,True,0.855852797388595,Convnet1M,719.9065489768982,True,0.0,627.7723516413811,32.0
5,Bolt,4,16,True,0.849662608327916,Convnet1M,921.5609456300735,True,0.0,637.9116851506046,32.0
6,Bolt,4,16,True,0.8216484343666938,Convnet1M,825.4636709690094,True,0.0,654.1859325244442,32.0
7,Bolt,4,16,True,0.8603416419469339,Convnet1M,661.8691070079803,True,0.0,685.4535066967314,32.0
8,Bolt,4,16,True,0.832607370233968,Convnet1M,787.8038207292557,True,0.0,628.3480476237111,32.0
9,Bolt,4,16,True,0.8600264712013137,Convnet1M,974.6317894458771,True,0.0,680.8117163133588,32.0
10,Bolt,4,16,True,0.8360334458270346,Convnet1M,843.5753817558289,True,0.0,638.9752280545006,32.0
11,Bolt,4,16,True,0.8013715632659318,Convnet1M,855.8126140832901,True,0.0,728.2983684421323,32.0
12,Bolt,4,16,True,0.8381075777048974,Convnet1M,684.7554380893707,True,0.0,610.5090900229486,32.0
13,Bolt,4,16,True,0.7853265550112023,Convnet1M,888.5738215446472,True,0.0,647.7668445850752,32.0
14,Bolt,4,16,True,0.7977900554319458,Convnet1M,839.6313939094543,True,0.0,652.2156589016541,32.0
15,Bolt,4,16,True,0.7716941357201764,Convnet1M,778.6535601615906,True,0.0,620.3289192205482,32.0
16,Bolt,4,16,True,0.8004604124153133,Convnet1M,918.5829999446869,True,0.0,634.9655074082987,32.0
17,Bolt,4,16,True,0.7745809397417823,Convnet1M,975.5701277256012,True,0.0,646.3792297901801,32.0
18,Bolt,4,16,True,0.8705280332244459,Convnet1M,880.6398332118988,True,0.0,661.0158968166738,32.0
19,Bolt,4,16,True,0.7451676164840697,Convnet1M,855.6820019483566,True,0.0,735.303970846646,32.0
20,Bolt,4,16,True,0.8646841538907535,Convnet1M,901.5285537242889,True,0.0,697.41530926722,32.0
21,Bolt,4,16,True,0.8369229743588162,Convnet1M,884.4836497306824,True,0.0,653.893981311639,32.0
22,Bolt,4,16,True,0.8713839225275892,Convnet1M,846.6101181507111,True,0.0,641.4473889727306,32.0
23,Bolt,4,16,True,0.7712495849891816,Convnet1M,899.5195739269257,True,0.0,602.8481967675148,32.0
24,Bolt,4,16,True,0.8625397902386623,Convnet1M,802.6742242574692,True,0.0,626.8258726995534,32.0
25,Bolt,4,16,True,0.8300224729371446,Convnet1M,929.4807682037354,True,0.0,588.7229847565901,32.0
26,Bolt,4,16,True,0.8485899909294095,Convnet1M,793.7781612873077,True,0.0,592.947584191616,32.0
