,_algo,_code_bits,_ncodebooks,_quantize,corr,dataset,err,norm_mean,opq_iters,rel_err,rot_sz
0,Bolt,4,16,True,0.9601655356939178,Gist,405.70127484202385,True,0.0,-856.9461876901318,16.0
1,Bolt,4,16,True,0.9577364933431931,Gist,398.0504645034671,True,0.0,-273.906814334309,16.0
2,Bolt,4,16,True,0.9812365203616649,Gist,427.31255823373795,True,0.0,2084.1414422192693,16.0
3,Bolt,4,16,True,0.9103215465523556,Gist,432.68161326646805,True,0.0,-2646.739621825335,16.0
4,Bolt,4,16,True,0.796175123480631,Gist,408.8048462420702,True,0.0,1293.9993611067455,16.0
5,Bolt,4,16,True,0.9636495762953894,Gist,405.97162438184023,True,0.0,-8915.147353683222,16.0
6,Bolt,4,16,True,0.9365308808387112,Gist,405.8425704538822,True,0.0,-3534.1110745982646,16.0
7,Bolt,4,16,True,0.976480739487612,Gist,407.03630739822984,True,0.0,2313.6142898372673,16.0
8,Bolt,4,16,True,0.9171214126985475,Gist,419.6404845416546,True,0.0,-3321.888356902552,16.0
9,Bolt,4,16,True,0.8922464029645681,Gist,406.8536810576916,True,0.0,10740.088157108059,16.0
10,Bolt,4,16,True,0.987402077212006,Gist,417.7117407619953,True,0.0,4475.100641343188,16.0
11,Bolt,4,16,True,0.9880516458325376,Gist,384.2983820438385,True,0.0,1930.7400354328338,16.0
12,Bolt,4,16,True,0.8778514273639627,Gist,454.79484152793884,True,0.0,9497.73469223097,16.0
13,Bolt,4,16,True,0.9366564266236976,Gist,407.88426603376865,True,0.0,-869.3970679689589,16.0
14,Bolt,4,16,True,0.8401245669383962,Gist,414.73754090070724,True,0.0,2056.611453223891,16.0
15,Bolt,4,16,True,0.9498379064883856,Gist,399.23566249012947,True,0.0,-485.2939102037353,16.0
16,Bolt,4,16,True,0.9879559622538661,Gist,358.70350044965744,True,0.0,3685.0502208428106,16.0
17,Bolt,4,16,True,0.80071090216892,Gist,387.2375934422016,True,0.0,2710.5472748394996,16.0
18,Bolt,4,16,True,0.9799431162293583,Gist,393.9746816381812,True,0.0,-1518.482392968783,16.0
19,Bolt,4,16,True,0.9615601333812479,Gist,420.54809764027596,True,0.0,2202.8811729844474,16.0
20,Bolt,4,16,True,0.9402148957682702,Gist,407.85437804460526,True,0.0,-85509.76720732795,16.0
21,Bolt,4,16,True,0.8929043654781401,Gist,372.5697772502899,True,0.0,-1096.59886319303,16.0
22,Bolt,4,16,True,0.9593444394475986,Gist,434.51717019081116,True,0.0,2335.877127342309,16.0
23,Bolt,4,16,True,0.7520186698505699,Gist,415.74014577269554,True,0.0,880.6233781271529,16.0
24,Bolt,4,16,True,0.8739008681017095,Gist,411.78991052508354,True,0.0,-3084.7187642370136,16.0
25,Bolt,4,16,True,0.9741022535798284,Gist,396.11844066530466,True,0.0,-1942.0256622794177,16.0
26,Bolt,4,16,True,0.9698965308427708,Gist,416.8933555781841,True,0.0,2173.326711121664,16.0
27,Bolt,4,16,True,0.7352735452884644,Gist,459.03816479444504,True,0.0,-4186.5560161704325,16.0
28,Bolt,4,16,True,0.9212032375216787,Gist,411.7923123091459,True,0.0,931.1568994722174,16.0
29,Bolt,4,16,True,0.9746183592907913,Gist,403.9349389374256,True,0.0,-2804.0801543430043,16.0
30,Bolt,4,16,True,0.9494226254731823,Gist,400.8796271532774,True,0.0,-1043.4792626625583,16.0
31,Bolt,4,16,True,0.7749173917261389,Gist,399.0500194430351,True,0.0,1502.563093538164,16.0
32,Bolt,4,16,True,0.8743730528256998,Gist,406.9858154486865,True,0.0,462.7409224281649,16.0
33,Bolt,4,16,True,0.949954678854558,Gist,400.0385177433491,True,0.0,-1860.5879757513571,16.0
34,Bolt,4,16,True,0.9185639260178086,Gist,431.451937019825,True,0.0,463.1840061912834,16.0
35,Bolt,4,16,True,0.9460349280187107,Gist,396.11680971086025,True,0.0,-4024.3058986054307,16.0
36,Bolt,4,16,True,0.9716015406976175,Gist,421.93831792473793,True,0.0,-9214.686112755971,16.0
