,_algo,_code_bits,_ncodebooks,corr,dataset,err,norm_mean,rel_err
0,PQ,8,8,-0.8596559897440734,Mnist,-499182.46064724383,True,-1.5945450794398928
1,PQ,8,8,-0.8381740259647186,Mnist,-713827.4688116815,True,4.061800088115405
2,PQ,8,8,-0.9158318654036354,Mnist,-308438.7223241416,True,0.719060083167923
3,PQ,8,8,-0.9255973810876073,Mnist,466640.15241373284,True,-1.2582439977648119
4,PQ,8,8,-0.8631284268425509,Mnist,-641609.4328782817,True,-1.7403849726901814
5,PQ,8,8,-0.9145169775337044,Mnist,567784.9547661223,True,-4.320900765341841
6,PQ,8,8,-0.818556569515066,Mnist,1002163.0892883297,True,-1.9521264682474413
7,PQ,8,8,-0.8574287935118571,Mnist,582771.9671224908,True,-3.6352305402868543
8,PQ,8,8,-0.7854256845839556,Mnist,2629896.213692232,True,-1.938903641456314
9,PQ,8,8,-0.8733345265913588,Mnist,45981.74572967319,True,-2.2591432558171376
10,PQ,8,8,-0.9109194051891375,Mnist,981732.6651923773,True,-2.0345146940263055
11,PQ,8,8,-0.7776069684373991,Mnist,-1673495.6673589903,True,-1.6977406091681468
12,PQ,8,8,-0.9004002215008677,Mnist,1000714.7716358654,True,-2.8360601220726913
13,PQ,8,8,-0.8939231475304016,Mnist,965267.3929185015,True,0.29578495945531663
14,PQ,8,8,-0.8928311176294426,Mnist,-391163.1294397259,True,-8.519694355896497
15,PQ,8,8,-0.8591013727889943,Mnist,488581.03572652536,True,2.0234196925264825
16,PQ,8,8,-0.8828276389872826,Mnist,-2945013.217027334,True,-2.127945306505188
17,PQ,8,8,-0.8425091499202076,Mnist,-1575917.8344301684,True,-33.67608359336953
18,PQ,8,8,-0.7010093871436656,Mnist,687124.295247575,True,-0.17375241180477297
19,PQ,8,8,-0.8634473990285216,Mnist,-2162263.0700088316,True,1.493625504219899
20,PQ,8,8,-0.9027337492926648,Mnist,-1048996.323023624,True,-3.0381429460729468
21,PQ,8,8,-0.8567383861088922,Mnist,-530332.3938396203,True,8.342780991758495
22,PQ,8,8,-0.8150346231495875,Mnist,112383.71676015272,True,-0.5194829102511176
23,PQ,8,8,-0.771790374262736,Mnist,-376313.8575197387,True,1.7891742147145435
24,PQ,8,8,-0.8777280309791657,Mnist,136594.53124172863,True,-2.0827305997818324
25,PQ,8,8,-0.8932142436892652,Mnist,931202.0357656528,True,-3.2095124565283717
26,PQ,8,8,-0.8617646559286467,Mnist,1211081.8369217108,True,0.7221848953983496
27,PQ,8,8,-0.8977881821894503,Mnist,732176.2517523628,True,5.2586800762403385
28,PQ,8,8,-0.9223257381226136,Mnist,1392988.2848789888,True,-2.3335494234343273
29,PQ,8,8,-0.8904867566730611,Mnist,-2246173.768232163,True,-2.8862852691780665
30,PQ,8,8,-0.865873648784425,Mnist,-3271230.707639242,True,6.273395842023497
31,PQ,8,8,-0.8997451112970254,Mnist,-963175.7049027022,True,-1.0392522741794163
32,PQ,8,8,-0.8706407560696572,Mnist,502030.6115876209,True,-3.1395297938491034
33,PQ,8,8,-0.8373252630769137,Mnist,116071.11349127485,True,-0.2831263476623509
34,PQ,8,8,-0.8970805450912362,Mnist,444982.0938507242,True,-4.965516049013591
35,PQ,8,8,-0.8238728569711452,Mnist,437522.046231153,True,-4.894737686437539
36,PQ,8,8,-0.8110816335413455,Mnist,-2305354.754965036,True,-2.3048266941536975
37,PQ,8,8,-0.8918262866689303,Mnist,65916.01097034442,True,-20.82290821993557
38,PQ,8,8,-0.8901590519265303,Mnist,694508.356718492,True,-0.15959409570692895
39,PQ,8,8,-0.9111027980042823,Mnist,1701631.4653442625,True,-2.5098908806478413
40,PQ,8,8,-0.9209323545393073,Mnist,-43628.11634709593,True,-2.4656802622063125
41,PQ,8,8,-0.8778119129663549,Mnist,589850.1541280788,True,-0.6285161292085024
42,PQ,8,8,-0.8832087259436397,Mnist,-250821.0496949391,True,-1.569477918571422
43,PQ,8,8,-0.8676859467698718,Mnist,555370.0320569468,True,-3.5723367566831783
44,PQ,8,8,-0.854493337967863,Mnist,-1847439.862974795,True,-2.14822685751946
45,PQ,8,8,-0.8232834065670565,Mnist,-936135.8564012505,True,-2.7713951005587547
46,PQ,8,8,-0.8674777734713889,Mnist,75641.48167773645,True,-0.687226032113241
47,PQ,8,8,-0.8778384398960181,Mnist,113555.95206052231,True,-0.016797011003726218
48,PQ,8,8,-0.9242055496715513,Mnist,1418530.6098973183,True,-1.288145999696449
49,PQ,8,8,-0.8632472282272418,Mnist,-1813677.7539921685,True,-1.7144042123374783
50,PQ,8,8,-0.8587798605611806,Mnist,-1054053.899530549,True,-1.6614226370954204
51,PQ,8,8,-0.7946112690068612,Mnist,-3236323.7747742264,True,-3.310753366914731
52,PQ,8,8,-0.8178685941743432,Mnist,-593997.14153621,True,-4.5192764768097895
53,PQ,8,8,-0.8653988854598991,Mnist,-2042151.4715784611,True,-1.108429080794572
54,PQ,8,8,-0.7589185980847378,Mnist,1110557.2249127005,True,-2.109253045897018
55,PQ,8,8,-0.8522924800729103,Mnist,-977761.678520674,True,1.0358760667455056
56,PQ,8,8,-0.9032865349115274,Mnist,-28792.770585440798,True,-0.8827051429406512
