,_algo,_code_bits,_ncodebooks,corr,dataset,err,norm_mean,rel_err
0,PQ,8,8,-0.8596559897440734,Mnist,638320.496393872,True,-3.3793315071688452
1,PQ,8,8,-0.8381740259647186,Mnist,702452.0442155416,True,-2.3482897788062687
2,PQ,8,16,-0.9233955546138726,Mnist,-77581.00404792884,True,-1.50064061654528
3,PQ,8,16,-0.8919977042829677,Mnist,-231775.53228241892,True,-1.3818239889895896
4,PQ,8,32,-0.9656910548394083,Mnist,-671589.7340622494,True,-1.565758860963659
5,PQ,8,32,-0.922218637860072,Mnist,-716994.6812942647,True,-3.2206745574357516
