,X_cols,X_rows,_algo,_code_bits,_ncodebooks,corr_mean,corr_std,dataset,eval_time_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,mse_mean,mse_std,norm_mean,nqueries,recall@1,recall@10,recall@100,recall@1000,recall@5,recall@50,recall@500,rel_err_mean,rel_err_sq_mean,rel_err_sq_std,rel_err_std
0,832,10000,PQ,8,8,-0.848915007854396,0.010740981889677426,Mnist,4.033505201339722,0.99995,1.0,0.99995,4.999999999999449e-05,1417425014663.8723,2194553418695.1582,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7845469539929512,7188.732368289302,435937.88971523923,84.7827627195899
1,832,10000,PQ,8,16,-0.9076966294484201,0.01569892516545246,Mnist,4.249442100524902,1.0,1.0,1.0,0.0,1458180667665.7205,2265027708605.139,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0967053768998603,5067.497432921152,302497.9467497367,71.17790858291237
2,832,10000,PQ,8,32,-0.9439548463497401,0.021736208489668174,Mnist,5.130414009094238,1.0,1.0,1.0,0.0,1635920233783.293,2556307499439.861,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2034093292127592,4978.231108162842,236294.40495316524,70.54631750948597
