,_algo,_code_bits,_ncodebooks,corr,dataset,err,norm_mean,rel_err
0,PQ,8,8,-0.8596559897440734,Mnist,512989.2620966166,True,-0.7406296304623673
1,PQ,8,8,-0.8381740259647186,Mnist,-1942234.529931677,True,-0.7645662796759722
2,PQ,8,8,-0.9158318654036354,Mnist,714113.3044129799,True,-0.6556815974633353
3,PQ,8,8,-0.9255973810876073,Mnist,-429516.89709816175,True,-2.9411865819944123
4,PQ,8,8,-0.8631284268425509,Mnist,223007.48376767512,True,6.372949774752407
5,PQ,8,8,-0.9145169775337044,Mnist,1377296.5097657666,True,-2.225403856663904
6,PQ,8,8,-0.818556569515066,Mnist,-1358674.717147995,True,-3.4804361488354005
7,PQ,8,8,-0.8574287935118571,Mnist,-417086.7829941974,True,0.7280591578174381
8,PQ,8,8,-0.7854256845839556,Mnist,-1787725.6460634512,True,-2.2997261324770437
9,PQ,8,8,-0.8733345265913588,Mnist,-355148.4169696474,True,-3.7847678548238783
10,PQ,8,8,-0.9109194051891375,Mnist,1760316.0790338288,True,-5.662975664843301
11,PQ,8,8,-0.7776069684373991,Mnist,311858.0705138773,True,9.317439433584191
12,PQ,8,8,-0.9004002215008677,Mnist,-23235.59815885304,True,-8.239701837279426
13,PQ,8,8,-0.8939231475304016,Mnist,-2013324.2381726094,True,1.380914356268625
14,PQ,8,8,-0.8928311176294426,Mnist,1163140.8581883577,True,-3.9245993766536564
15,PQ,8,8,-0.8591013727889943,Mnist,1063084.6018579404,True,-2.4860801636674394
16,PQ,8,8,-0.8828276389872826,Mnist,-524713.5058355329,True,-1.578266964471241
17,PQ,8,8,-0.8425091499202076,Mnist,-1250050.00772533,True,-1.0100014474717116
18,PQ,8,8,-0.7010093871436656,Mnist,-3973258.4158569723,True,-9.961008461579409
19,PQ,8,8,-0.8634473990285216,Mnist,-2368112.903034493,True,-5.9500684788181895
20,PQ,8,8,-0.9027337492926648,Mnist,-1965079.9826327693,True,-2.307278389430974
21,PQ,8,8,-0.8567383861088922,Mnist,-2186098.236502894,True,-2.129836891071254
22,PQ,8,8,-0.8150346231495875,Mnist,-101826.74332273897,True,-1.9617785940251713
23,PQ,8,8,-0.771790374262736,Mnist,-1656624.1894601416,True,-2.7154807463540602
24,PQ,8,8,-0.8777280309791657,Mnist,272903.1022503584,True,-3.28605281774707
25,PQ,8,8,-0.8932142436892652,Mnist,-738214.7841309425,True,-1.5177080133547538
26,PQ,8,8,-0.8617646559286467,Mnist,420921.29418939597,True,-1.4033493716779464
