,X_cols,X_rows,_algo,_code_bits,_ncodebooks,_quantize,dataset,eval_time_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,norm_mean,nqueries,opq_iters,recall@1,recall@10,recall@100,recall@1000,recall@5,recall@50,recall@500,rot_sz
0,960,1000000,Bolt,4,16,True,Gist,1358.2514340877533,0.023772,0.06693190000000002,0.032146228000000006,0.03200213303887752,True,1000,0.0,0.029,0.079,0.174,0.457,0.058,0.129,0.346,16.0
1,960,1000000,Bolt,4,32,True,Gist,1483.7968299388885,0.006406,0.0242371,0.010740480000000002,0.013822124520984464,True,1000,0.0,0.067,0.156,0.385,0.734,0.122,0.303,0.624,16.0
2,960,1000000,Bolt,4,64,True,Gist,1666.6827430725098,0.002524,0.011207200000000006,0.004574484,0.006014224644103676,True,1000,0.0,0.088,0.255,0.553,0.884,0.193,0.453,0.799,16.0
3,960,1000000,PQ,8,8,,Gist,1789.7869880199432,0.008556000000000001,0.036445500000000006,0.014620920999999999,0.0180922338353438,True,1000,,0.043,0.106,0.301,0.647,0.081,0.225,0.538,
4,960,1000000,PQ,8,16,,Gist,1835.6827158927917,0.001828,0.008554,0.0034951970000000002,0.005096779386847247,True,1000,,0.097,0.266,0.601,0.91,0.208,0.488,0.848,
5,960,1000000,PQ,8,32,,Gist,5317.4579310417175,0.000497,0.00209,0.0009145570000000001,0.001248218280090065,True,1000,,0.155,0.472,0.822,0.988,0.348,0.725,0.971,
6,960,1000000,OPQ,8,8,False,Gist,982.943696975708,0.0012634999999999999,0.005451600000000001,0.0023764479999999998,0.0035250598393922333,True,1000,20.0,0.1,0.307,0.668,0.952,0.235,0.539,0.899,
7,960,1000000,OPQ,8,16,False,Gist,1080.9134221076965,0.000309,0.0013992000000000002,0.000594707,0.0008725893966528588,True,1000,20.0,0.207,0.548,0.892,0.992,0.432,0.811,0.983,
8,960,1000000,OPQ,8,32,False,Gist,1204.9726450443268,9.35e-05,0.00033420000000000005,0.00016146499999999999,0.0002400379736104269,True,1000,20.0,0.331,0.796,0.977,1.0,0.671,0.953,0.999,
