,_algo,_code_bits,_ncodebooks,corr,dataset,err,norm_mean,rel_err
0,PQ,8,8,-0.8596559897440734,Mnist,-664227.9607137826,True,-2.009241267822315
1,PQ,8,8,-0.8381740259647186,Mnist,406099.5775141765,True,-2.2456318863751235
2,PQ,8,16,-0.9233955546138726,Mnist,-719089.6387432038,True,-2.3162964910151467
3,PQ,8,16,-0.8919977042829677,Mnist,740867.5255010674,True,-1.8870994199565914
4,PQ,8,32,-0.9656910548394083,Mnist,935934.168932508,True,-2.801751012203476
5,PQ,8,32,-0.922218637860072,Mnist,-81553.94330570978,True,-3.3443636317700873
