,X_cols,X_rows,_algo,_code_bits,_ncodebooks,corr_mean,corr_std,dataset,eval_time_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,mse_mean,mse_std,norm_mean,nqueries,recall@1,recall@10,recall@100,recall@1000,recall@5,recall@50,recall@500,rel_err_mean,rel_err_sq_mean,rel_err_sq_std,rel_err_std
0,832,10000,PQ,8,8,0.9685023336311276,0.002136028987464289,Mnist,4.869194984436035,0.0036,0.0036,0.0036,0.0,23072076339.17706,38659507019.50173,True,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11280322858267482,624.5479881253291,58027.10020596013,24.990703542656625
1,832,10000,PQ,8,16,0.983770449120118,0.0015287722476147736,Mnist,5.274553060531616,0.0024,0.0019,0.0024,0.0004999999999999999,12304236611.531748,21592287256.218212,True,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.018361832363123335,285.68719800474577,18796.81641240644,16.90227383661317
2,832,10000,PQ,8,32,0.9924695432241841,0.0008832962377542386,Mnist,6.033131122589111,0.0022,0.0011,0.0022,0.0010999999999999998,5752883378.167052,10696743271.191372,True,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004712932759001597,70.40300691681962,3825.6540613891502,8.390648646265939
