,X_cols,X_rows,_algo,_code_bits,_ncodebooks,_quantize,corr_mean,corr_std,dataset,eval_time_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,mse_mean,mse_std,norm_mean,nqueries,opq_iters,recall@1,recall@10,recall@100,recall@1000,recall@5,recall@50,recall@500,rel_err_mean,rel_err_sq_mean,rel_err_sq_std,rel_err_std
0,832,10000,OPQ,4,16,False,0.9469204545021057,0.011926142498850822,Mnist,4.225843906402588,0.0046,0.0058,0.005879296875,0.004329621931314007,35795218432.0,60703981568.0,True,256,5,0.3046875,0.8203125,1.0,1.0,0.6640625,0.9921875,1.0,-0.17749588191509247,28844.306640625,17103544.0,169.83602905273438
1,832,10000,OPQ,4,32,False,0.9682356715202332,0.0073089939542114735,Mnist,4.082755088806152,0.0026,0.0067,0.003268359375,0.0021221982549586666,23345192960.0,39914758144.0,True,256,5,0.4765625,0.95703125,1.0,1.0,0.84765625,1.0,1.0,-0.12409841269254684,29218.255859375,20938206.0,170.93345642089844
2,832,10000,OPQ,4,64,False,0.9869054555892944,0.0031295425724238157,Mnist,4.263292074203491,0.0017,0.0033,0.002016796875,0.0010350833553343587,9498539008.0,15204775936.0,True,256,5,0.60546875,0.98046875,1.0,1.0,0.92578125,1.0,1.0,-0.1511322259902954,48900.0625,55813916.0,221.13352966308594
3,832,10000,OPQ,8,8,False,0.9690005779266357,0.007087080739438534,Mnist,6.163009881973267,0.0029,0.0033,0.0034,0.002248958092095093,20488591360.0,34904936448.0,True,256,5,0.36328125,0.93359375,1.0,1.0,0.84375,1.0,1.0,-0.2758949100971222,42537.4921875,40143512.0,206.2460174560547
4,832,10000,OPQ,8,16,False,0.985051155090332,0.0035802272614091635,Mnist,6.703751087188721,0.0017,0.0029,0.0020015625,0.0008433086229807863,10023156736.0,17381611520.0,True,256,5,0.59765625,0.984375,1.0,1.0,0.9296875,1.0,1.0,-0.11120030283927917,52835.25,73106992.0,229.8591766357422
5,832,10000,OPQ,8,32,False,0.9933198094367981,0.001587719190865755,Mnist,7.156610012054443,0.0014,0.0012,0.0015062500000000002,0.0004317026609832281,4648064000.0,8403923968.0,True,256,5,0.69140625,1.0,1.0,1.0,0.984375,1.0,1.0,-0.06724933534860611,51054.1484375,72034616.0,225.95164489746094
