,_algo,_code_bits,_ncodebooks,corr,dataset,err,norm_mean,rel_err
0,PQ,8,8,0.9706383626185919,Mnist,55907.6025739098,True,-0.41714759523389133
1,PQ,8,8,0.9663663046436634,Mnist,96974.32065436024,True,-0.14465504244837782
2,PQ,8,16,0.9852992213677328,Mnist,-87130.01340634482,True,0.009159891189505382
3,PQ,8,16,0.9822416768725033,Mnist,96831.8546126195,True,-0.3156542533169451
4,PQ,8,32,0.9933528394619384,Mnist,18883.704170887446,True,-0.036569315853222345
5,PQ,8,32,0.9915862469864299,Mnist,-69373.99628369696,True,-0.016128532343669583
