,_algo,_code_bits,_ncodebooks,_quantize,corr,dataset,err,norm_mean,opq_iters,rel_err,rot_sz
0,Bolt,4,16,True,0.8937192546855636,Deep1M,1461.9853715496138,True,0.0,5142.394451879142,16.0
1,Bolt,4,16,True,0.8947496535421273,Deep1M,1329.0152846528217,True,0.0,13598.04054867967,16.0
2,Bolt,4,16,True,0.714336913565427,Deep1M,1205.0959466993809,True,0.0,-27677.4747959304,16.0
3,Bolt,4,16,True,0.8576126639942937,Deep1M,1161.1986744999886,True,0.0,-28558.13339238107,16.0
4,Bolt,4,16,True,0.7568253530221695,Deep1M,1594.8682243973017,True,0.0,-18787.06058904302,16.0
5,Bolt,4,16,True,0.8144787687285345,Deep1M,1267.1082921177149,True,0.0,39480.560147569864,16.0
6,Bolt,4,16,True,0.8168805640635278,Deep1M,1470.983970431611,True,0.0,11056.306681692946,16.0
7,Bolt,4,16,True,0.8838288088026363,Deep1M,1330.068089529872,True,0.0,16079.736703325374,16.0
8,Bolt,4,16,True,0.8907641228720069,Deep1M,1281.1480221003294,True,0.0,29509.02339853168,16.0
9,Bolt,4,16,True,0.8339740433089597,Deep1M,1462.905471175909,True,0.0,-8549.974206844952,16.0
10,Bolt,4,16,True,0.9421044516021361,Deep1M,1223.1136410012841,True,0.0,21409.40346721577,16.0
11,Bolt,4,16,True,0.8806065216750006,Deep1M,1737.7959089577198,True,0.0,348525.8574888545,16.0
12,Bolt,4,16,True,0.9430223747711577,Deep1M,1309.122173987329,True,0.0,-9751.608728203117,16.0
13,Bolt,4,16,True,0.8964359815294356,Deep1M,1287.9611778333783,True,0.0,14418.584842527573,16.0
14,Bolt,4,16,True,0.9411137737789772,Deep1M,1137.1861484199762,True,0.0,15508.745899309393,16.0
15,Bolt,4,16,True,0.7997779657508017,Deep1M,1173.1169978827238,True,0.0,19478.809816511988,16.0
16,Bolt,4,16,True,0.8510107404027725,Deep1M,1215.06900023669,True,0.0,10900.675738349331,16.0
17,Bolt,4,16,True,0.9603368078003919,Deep1M,1434.0222555734217,True,0.0,15483.95218979957,16.0
18,Bolt,4,16,True,0.890657561505194,Deep1M,1515.9271969646215,True,0.0,-28412.183980424885,16.0
19,Bolt,4,16,True,0.7962856614467035,Deep1M,1946.8740642666817,True,0.0,119206.11481459724,16.0
20,Bolt,4,16,True,0.9124711702306881,Deep1M,1502.9960914533585,True,0.0,-6025.723399992934,16.0
21,Bolt,4,16,True,0.9458003111199063,Deep1M,1189.1197603046894,True,0.0,96345.05963523625,16.0
22,Bolt,4,16,True,0.90776770964414,Deep1M,1114.1135046556592,True,0.0,15050.094230126755,16.0
23,Bolt,4,16,True,0.8392986039419464,Deep1M,1383.9710058886558,True,0.0,136758.42581041087,16.0
24,Bolt,4,16,True,0.8818715764786265,Deep1M,1464.9618663489819,True,0.0,-19715.100337119315,16.0
25,Bolt,4,16,True,0.8104900372774324,Deep1M,1481.0036565223709,True,0.0,-95918.20231880603,16.0
26,Bolt,4,16,True,0.9046892524538102,Deep1M,1363.054140433669,True,0.0,10394.645388821102,16.0
27,Bolt,4,16,True,0.8827058076548451,Deep1M,1173.0813160464168,True,0.0,52960.56955245405,16.0
28,Bolt,4,16,True,0.8615703979870479,Deep1M,1383.0323174707592,True,0.0,5729.062023459872,16.0
29,Bolt,4,16,True,0.8862459285647699,Deep1M,1236.065136231482,True,0.0,11980.52502601563,16.0
30,Bolt,4,16,True,0.7284565053145139,Deep1M,1375.0059790927917,True,0.0,7936.4100839454095,16.0
31,Bolt,4,16,True,0.8804978623652888,Deep1M,1679.7408067286015,True,0.0,-7366.860327438783,16.0
32,Bolt,4,16,True,0.887464740454873,Deep1M,1311.074523076415,True,0.0,8074.378837574208,16.0
33,Bolt,4,16,True,0.8629590247290321,Deep1M,1494.9333717897534,True,0.0,-144483.883373519,16.0
34,Bolt,4,16,True,0.820903409861988,Deep1M,1426.9642463177443,True,0.0,61497.730613855085,16.0
35,Bolt,4,16,True,0.8017145111633268,Deep1M,1150.1773482859135,True,0.0,-22118.763775719584,16.0
36,Bolt,4,16,True,0.9034026734252845,Deep1M,1312.0940909087658,True,0.0,-14201.016812178448,16.0
37,Bolt,4,16,True,0.9467423776020928,Deep1M,1221.2156453877687,True,0.0,18845.09209243172,16.0
38,Bolt,4,16,True,0.8803899467405214,Deep1M,1345.019293135032,True,0.0,56284.98530863186,16.0
39,Bolt,4,16,True,0.8827288654637062,Deep1M,1698.9303838685155,True,0.0,-8138.08892082685,16.0
40,Bolt,4,16,True,0.9048015887964966,Deep1M,1496.9439802989364,True,0.0,106449.86362441741,16.0
41,Bolt,4,16,True,0.8872139491932909,Deep1M,1253.0004329122603,True,0.0,7126.160189773671,16.0
42,Bolt,4,16,True,0.8332070375072018,Deep1M,1139.1177302524447,True,0.0,59756.48635020965,16.0
43,Bolt,4,16,True,0.8708297242902738,Deep1M,1606.0498536750674,True,0.0,-11049.027586661045,16.0
44,Bolt,4,16,True,0.904442377394858,Deep1M,1173.207033008337,True,0.0,24975.72008464192,16.0
45,Bolt,4,16,True,0.7929891780251183,Deep1M,1451.9737984873354,True,0.0,-27887.463426846334,16.0
46,Bolt,4,16,True,0.8166824600050524,Deep1M,1239.0976141393185,True,0.0,9343.67197962517,16.0
47,Bolt,4,16,True,0.8952696050419967,Deep1M,1343.1198337301612,True,0.0,15209.935043330554,16.0
48,Bolt,4,16,True,0.9366180674218612,Deep1M,1221.0810902491212,True,0.0,7835.757180654397,16.0
